2013IAUS..288..218R
2008PhDT........70O
2010trex.book.....H
2009IAUS..253...21B
2006S&T...112f..22N
2013AAS...22134305H
2012yscc.conf...86S
2012JAVSO..40..456C
2011M&PS...46..767H
2011IAUS..276..252F
2011ESS.....2.4024V
2011epsc.conf..481W
2011AJ....142..115D
2010epsc.conf..157W
2010cosp...38.2515N
2010AAS...21542303D
2009RMxAC..35R.287M
2009DPS....41.3102T
2009and..book..123S
2008sptz.prop50056K
