2012WSSAA..13.....N 
2012ScChG..55..381Q 
2012RAA....12..269Y 
2012RAA....12..249L 
2012PThPh.127..591S 
2012PThPh.127..535S 
2012PhRvL.108m1101D 
2012PhRvL.108i1301C 
2012PhRvD..85f5020L 
2012PhRvD..85f4046V 
2012PhRvD..85f4044W 
2012PhRvD..85f4039L 
2012PhRvD..85f4037S 
2012PhRvD..85f4030E 
2012PhRvD..85f4029E 
2012PhRvD..85f4019A 
2012PhRvD..85f1501W 
2012PhRvB..85l1102Z 
2012PhLB..709..293B 
2012PhLB..709..289S 
2012PhLB..709..276A 
2012PhLB..709..266S 
2012PhLB..709..260M 
2012PhLB..709..118N 
2012NJPh...14c3013N 
2012Msngr.147...21L 
2012MNRAS.421..666G 
2012MNRAS.421..468M 
2012MNRAS.420.3621T 
2012MNRAS.420.3298P 
2012MNRAS.420.2662D 
2012MNRAS.420.2429L 
2012LPI....43.2914R 
2012LPI....43.2638E 
2012LPI....43.2561T 
2012LPI....43.2100C 
2012LPI....43.1883P 
2012JPhCS.355a2016M 
2012JPhCS.354a2017S 
2012JPhCS.354a2012N 
2012JPhCS.354a2003D 
2012JHEP...03..066S 
2012JETP..114..406A 
2012IJTP...51..925R 
2012IJTP...51..901R 
2012IJMPS..12..320K 
2012IJMPD..2150022G 
2012GReGr..44..639F 
2012GeoRL..39.6802S 
2012GeoJI.188.1285A 
2012EPJC...72.1957B 
2012EPJC...72.1912B 
2012CQGra..29e9001H 
2012CQGra..29e5011K 
2012CQGra..29e5003H 
2012CQGra..29e5002A 
2012ChNew..19....3F 
2012bcbh.book.....N 
2012arXiv1203.6576H 
2012arXiv1203.6542T 
2012arXiv1203.6505J 
2012arXiv1203.6378T 
2012arXiv1203.6194M 
2012arXiv1203.4752G 
2012arXiv1203.4289H 
2012arXiv1203.4111D 
2012arXiv1203.3876M 
2012arXiv1203.3772B 
2012arXiv1203.3585E 
2012arXiv1203.0174B 
2012APS..APRJ15006L 
2012APS..APRH14002V 
2012APS..APR.W8008H 
2012APS..APR.W8007W 
2012APS..APR.W8005K 
2012APS..APR.T8006A 
2012APS..APR.T8005F 
2012APS..APR.T8004Z 
2012APS..APR.T8002M 
2012APS..APR.R8008C 
2012APS..APR.R8007Y 
2012APS..APR.R8006N 
2012APS..APR.R8005Z 
2012APS..APR.R8003D 
2012APS..APR.R8002V 
2012APS..APR.R7005L 
2012APS..APR.Q8007M 
2012APS..APR.Q8006L 
2012APS..APR.Q8005L 
2012APS..APR.Q8004Z 
2012APS..APR.Q8003R 
2012APS..APR.Q8002H 
2012APS..APR.Q8001C 
2012APS..APR.Q7009O 
2012APS..APR.Q7005C 
2012APS..APR.L8003D 
2012APS..APR.L4001L 
2012APS..APR.K1079C 
2012APS..APR.K1077L 
2012APS..APR.K1049C 
2012APS..APR.J8006E 
2012APS..APR.J8005B 
2012APS..APR.J8003A 
2012APS..APR.J8002K 
2012APS..APR.J8001M 
2012APS..APR.J7009M 
2012APS..APR.H8009F 
2012APS..APR.H8006E 
2012APS..APR.G8006G 
2012APS..APR.G8005B 
2012APS..APR.G8004F 
2012APS..APR.G8003N 
2012APS..APR.G8002M 
2012APS..APR.G4002H 
2012APS..APR.E1029A 
2012APS..APR.E1028G 
2012APS..APR.D8002N 
2012APS..APR.D4003L 
2012APS..APR.D4002L 
2012APS..APR.C8003F 
2012APS..APR.C8001K 
2012APS..APR.C3003M 
2012APS..APR.C3001G 
2012APS..APR.B4003S 
2012APS..APR.B4001L 
2012APS..APR.B3003B 
2012APS..APR.B3001R 
2012ApJ...748...65L 
2012ApJ...748...63B 
2012ApJ...748...36B 
2012ApJ...747L..13F 
2012ApJ...747L...4A 
2012ApJ...747L...3K 
2012ApJ...747...30P 
2012ApJ...747....9P 
2012Ap&SS.338..147F 
2012Ap&SS.338...81W 
2012Ap&SS.338....1S 
2012AIPC.1427..316T 
2012AIPC.1427..314N 
2012AIPC.1427..138L 
2012AIPC.1427...48N 
2012A&A...539A..29M 
2012SIGMA...8..005K 
2012PThPh.127..331P 
2012PLoSO...731459P 
2012PhRvL.108h1103S 
2012PhRvD..85d6009D 
2012PhRvD..85d4061L 
2012PhRvD..85d4055H 
2012PhRvD..85d4054M 
2012PhRvD..85d4034B 
2012PhRvD..85d4025N 
2012PhRvD..85d4015F 
2012PhRvD..85d4013N 
2012PhRvD..85d3002B 
2012PhRvD..85d3001B 
2012PhLB..708..290L 
2012PhLA..376..893M 
2012PhDT.........4M 
2012PASJ...64...15O 
2012PASJ...64...13N 
2012PASJ...64....5H 
2012NewSc.213...27W 
2012NewAR..56...74P 
2012NewAR..56...64Z 
2012NewAR..56...49M 
2012NewAR..56...37J 
2012NewAR..56...33B 
2012NewA...17...73R 
2012NewA...17...51M 
2012MNRAS.420L..38G 
2012MNRAS.420.1415G 
2012MNRAS.420..878K 
2012MNRAS.420..860S 
2012MNRAS.420..792M 
2012MNRAS.420..732P 
2012MNRAS.420..705T 
2012MNRAS.420...75R 
2012JPhCS.343a2082M 
2012JPhCS.343a2077M 
2012JHEP...02..122C 
2012JHEP...02..116C 
2012JHEP...02..071F 
2012JHEP...02..010K 
2012JCAP...02..025B 
2012IJMPS..13...44C 
2012GReGr..44..555M 
2012GReGr..44..309T 
2012GeoJI.188..626L 
2012EPJC...72.1898Y 
2012EL.....9739001N 
2012EL.....9734008B 
2012E&PSL.319..251F 
2012CQGra..29d5003L 
2012CQGra..29c5014C 
2012CQGra..29c5013D 
2012CQGra..29c5011B 
2012CQGra..29c5010K 
2012CQGra..29c5008T 
2012CQGra..29c5004M 
2012ChPhB..21b0403S 
2012ATel.3916....1D 
2012ATel.3913....1A 
2012arXiv1202.5576L 
2012arXiv1202.5574A 
