bibcode,Location,lat,long,address,country,state,trusted,count
2009IAUS..253...21B, Loránd Eötvös University Budapest,47.4907512,19.0586358,"Eötvös Loránd University, 1053 Budapest, Egyetem tér 1-3., Hungary",Hungary,Budapest,True,1
2009IAUS..253...21B,Konkoly Observatory Budapest,47.499669,18.964282,"Konkoly Observatory, 1121 Budapest, Konkoly-Thege Miklós Way 15-17, Hungary",Hungary,Budapest,True,1
2009IAUS..253...21B, Harvard-Smithsonian Center for Astrophysics 60 Garden street MA 02138 USA,42.3814605,-71.1281638,"Center For Astrophysics, Harvard University, 60 Garden Street, Cambridge, MA 02138, USA",United States,Massachusetts,True,1
2009IAUS..253...21B,Harvard-Smithsonian Center for Astrophysics 60 Garden street MA 02138 USA,42.3814605,-71.1281638,"Center For Astrophysics, Harvard University, 60 Garden Street, Cambridge, MA 02138, USA",United States,Massachusetts,True,6
