bibcode,Location,lat,long,address,country,state,trusted,count
2010AAS...21542303D,University of Washington,47.6554211,-122.3061342,"University of Washington, Seattle, WA, USA",United States,Washington,False,1
2010AAS...21542303D,The University of Toledo,41.6621416,-83.6126979,"The University of Toledo, 2801 West Bancroft Street, Toledo, OH 43606, USA",United States,Ohio,True,3
2010AAS...21542303D,Universidade de Sao Paulo Brazil,-22.2840428,-48.5700115,"Universidade de São Paulo, Jaú - São Paulo, Brazil",Brazil,São Paulo,False,3
